一级行业代码,一级行业,二级行业代码,二级行业,三级行业代码,三级行业,股票代码,股票名称,龙头排名,质量分,规模地位分,盈利能力,成长稳定性,现金流质量,同行相对估值,财务稳健与波动,覆盖率,资格状态,生命周期,公式版本,首次进入,最近可见,低估池状态,估值标签,历史估值标签,买入档,现价,合理价值低,合理价值中,合理价值高,低估池as_of
881006.SH,石油,881011.SH,石油化工,881014.SH,其他石化,002221.SZ,东华能源,2,46.8265,70.0,42.8571,53.0612,48.2143,64.2857,17.1429,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881016.SH,日用化工,881017.SH,洗护用品,600315.SH,上海家化,1,49.3952,91.4286,54.2857,45.6428,59.4286,47.6191,32.8571,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881016.SH,日用化工,881017.SH,洗护用品,603193.SH,润本股份,2,70.5655,81.4286,95.7143,,58.9286,59.0476,55.0,0.8,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881016.SH,日用化工,881018.SH,化妆品,603605.SH,珀莱雅,1,76.3515,100.0,86.3637,98.0,68.0,78.1818,33.6364,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881016.SH,日用化工,881018.SH,化妆品,300957.SZ,贝泰妮,2,64.3046,90.3636,74.5455,44.25,60.0,70.3031,71.3636,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,REMOVED,FAIR,VERY_CHEAP,WATCH,33.61,34.02,48.85,72.51,2026-09-07
881015.SH,化工,881019.SH,化纤,881020.SH,涤纶,002493.SZ,荣盛石化,1,45.4803,94.5455,35.4545,50.75,70.2273,28.3636,46.1818,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881019.SH,化纤,881020.SH,涤纶,601233.SH,桐昆股份,2,52.7181,80.9091,50.0,60.5454,55.2272,67.4545,20.5454,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881019.SH,化纤,881021.SH,氨纶,002064.SZ,华峰化学,1,75.0,100.0,85.0,50.0,85.0,70.0,85.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881019.SH,化纤,881021.SH,氨纶,000949.SZ,新乡化纤,2,40.0,50.0,35.0,80.0,0.0,50.0,35.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881019.SH,化纤,881022.SH,粘胶纤维,600409.SH,三友化工,1,57.0,100.0,70.0,35.0,10.0,100.0,70.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881019.SH,化纤,881022.SH,粘胶纤维,000420.SZ,吉林化纤,2,44.2857,0.0,30.0,71.4286,90.0,0.0,30.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881019.SH,化纤,881023.SH,锦纶,600810.SH,神马股份,1,40.2143,70.0,32.5,28.5714,62.5,50.0,25.0,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
