一级行业,二级行业,三级行业代码,三级行业,第1名代码,第1名名称,第1名质量分,第2名代码,第2名名称,第2名质量分,公式版本
农林牧渔,饲料,881120.SH,畜禽饲料,002100.SZ,天康生物,66.2222,600866.SH,星湖科技,85.0555,value-leader-v3.0.0
农林牧渔,饲料,881121.SH,水产饲料,002311.SZ,海大集团,85.0,001313.SZ,粤海饲料,40.9444,value-leader-v3.0.0
农林牧渔,饲料,881122.SH,宠物食品,301498.SZ,乖宝宠物,64.6528,002891.SZ,中宠股份,51.1111,value-leader-v3.0.0
化工,农用化工,881056.SH,农药,600486.SH,扬农化工,65.2936,301035.SZ,润丰股份,58.4303,value-leader-v3.0.0
化工,农用化工,881057.SH,氮肥,000912.SZ,泸天化,69.3333,600227.SH,赤天化,25.2857,value-leader-v3.0.0
化工,农用化工,881058.SH,磷肥及磷化工,600096.SH,云天化,72.0357,600141.SH,兴发集团,45.5214,value-leader-v3.0.0
化工,农用化工,881059.SH,钾肥,000792.SZ,盐湖股份,47.3333,000408.SZ,藏格矿业,53.3333,value-leader-v3.0.0
化工,农用化工,881060.SH,复合肥,000902.SZ,新洋丰,67.7365,002539.SZ,云图控股,52.0341,value-leader-v3.0.0
化工,化学制品,881035.SH,聚氨酯,600309.SH,万华化学,68.2667,920261.BJ,一诺威,48.2778,value-leader-v3.0.0
化工,化学制品,881036.SH,涂料油墨,603823.SH,百合花,61.2373,,,,value-leader-v3.0.0
化工,化学制品,881037.SH,民爆制品,002683.SZ,广东宏大,61.0286,002226.SZ,江南化工,60.7587,value-leader-v3.0.0
化工,化学制品,881038.SH,纺织化学品,600352.SH,浙江龙盛,67.0078,002440.SZ,闰土股份,68.0791,value-leader-v3.0.0
化工,化学制品,881039.SH,氟化工,600160.SH,巨化股份,68.2183,600378.SH,昊华科技,58.9749,value-leader-v3.0.0
化工,化学制品,881040.SH,食品助剂,002001.SZ,新 和 成,80.6424,600299.SH,安迪苏,61.701,value-leader-v3.0.0
化工,化学制品,881041.SH,有机硅,600596.SH,新安股份,53.4071,603260.SH,合盛硅业,30.9184,value-leader-v3.0.0
化工,化学制品,881042.SH,胶黏剂及胶带,300041.SZ,回天新材,69.5619,603681.SH,永冠新材,54.9,value-leader-v3.0.0
化工,化学制品,881043.SH,其他化学制品,300910.SZ,瑞丰新材,75.4584,603181.SH,皇马科技,67.9985,value-leader-v3.0.0
化工,化学原料,881027.SH,煤化工,600989.SH,宝丰能源,83.3571,600426.SH,华鲁恒升,63.9714,value-leader-v3.0.0
化工,化学原料,881028.SH,钛白粉,002601.SZ,龙佰集团,71.5333,002145.SZ,钛能化学,75.6,value-leader-v3.0.0
化工,化学原料,881029.SH,氯碱,601216.SH,君正集团,83.6855,601678.SH,滨化股份,67.1863,value-leader-v3.0.0
化工,化学原料,881030.SH,纯碱,000683.SZ,博源化工,74.1111,603077.SH,和邦生物,49.9683,value-leader-v3.0.0
化工,化学原料,881031.SH,无机盐,603067.SH,振华股份,60.5357,,,,value-leader-v3.0.0
化工,化学原料,881032.SH,有机化工原料,002648.SZ,卫星化学,74.2511,600273.SH,嘉化能源,67.2762,value-leader-v3.0.0
化工,化学原料,881033.SH,其他化学原料,603938.SH,三孚股份,34.6549,002125.SZ,湘潭电化,61.7253,value-leader-v3.0.0
化工,化纤,881020.SH,涤纶,002493.SZ,荣盛石化,45.4803,601233.SH,桐昆股份,52.7181,value-leader-v3.0.0
