一级行业,二级行业,三级行业代码,三级行业,第1名代码,第1名名称,第1名质量分,第2名代码,第2名名称,第2名质量分,公式版本
煤炭,焦炭加工,881005.SH,焦炭加工,600740.SH,山西焦化,50.5,600997.SH,开滦股份,74.6667,value-leader-v3.0.0
煤炭,煤炭开采,881003.SH,动力煤,601088.SH,中国神华,62.7241,601225.SH,陕西煤业,68.2667,value-leader-v3.0.0
煤炭,煤炭开采,881004.SH,炼焦煤,600985.SH,淮北矿业,57.336,601699.SH,潞安环能,53.5608,value-leader-v3.0.0
环保,环保设备,881470.SH,环保设备,000967.SZ,盈峰环境,48.9259,600388.SH,紫金龙净,64.7333,value-leader-v3.0.0
环保,环境治理,881472.SH,大气治理,600133.SH,东湖高新,55.4722,002549.SZ,凯美特气,66.3333,value-leader-v3.0.0
环保,环境治理,881473.SH,水治理,000544.SZ,中原环保,73.3676,600874.SH,创业环保,81.95,value-leader-v3.0.0
环保,环境治理,881474.SH,固废治理,002266.SZ,浙富控股,43.4349,600323.SH,瀚蓝环境,74.0565,value-leader-v3.0.0
环保,环境治理,881475.SH,生态修复,300355.SZ,蒙草生态,57.3334,688069.SH,德林海,59.537,value-leader-v3.0.0
环保,环境监测,881476.SH,环境监测,002658.SZ,雪迪龙,75.3333,300137.SZ,先河环保,19.2917,value-leader-v3.0.0
电力设备,光伏设备,881276.SH,光伏硅料,600438.SH,通威股份,59.7143,688303.SH,大全能源,54.7143,value-leader-v3.0.0
电力设备,光伏设备,881277.SH,光伏硅片,002129.SZ,TCL中环,43.3968,603185.SH,弘元绿能,74.3333,value-leader-v3.0.0
电力设备,光伏设备,881278.SH,光伏电池组件,002056.SZ,横店东磁,80.9237,688472.SH,阿特斯,72.3136,value-leader-v3.0.0
电力设备,光伏设备,881279.SH,光伏逆变器,300274.SZ,阳光电源,68.9167,605117.SH,德业股份,71.8333,value-leader-v3.0.0
电力设备,光伏设备,881280.SH,光伏辅材,603806.SH,福斯特,74.1184,601865.SH,福莱特,75.8972,value-leader-v3.0.0
电力设备,光伏设备,881281.SH,光伏加工设备,300316.SZ,晶盛机电,49.3143,300751.SZ,迈为股份,46.131,value-leader-v3.0.0
电力设备,其他发电设备,881285.SH,其他发电设备,601727.SH,上海电气,41.1824,600875.SH,东方电气,53.1482,value-leader-v3.0.0
电力设备,电机制造,881261.SH,电机制造,600580.SH,卧龙电驱,54.4359,002249.SZ,大洋电机,72.1254,value-leader-v3.0.0
电力设备,电池,881263.SH,锂电池,300750.SZ,宁德时代,78.5298,300014.SZ,亿纬锂能,64.863,value-leader-v3.0.0
电力设备,电池,881264.SH,电池化学品,300919.SZ,中伟新材,63.9513,002340.SZ,格林美,78.2426,value-leader-v3.0.0
电力设备,电池,881265.SH,锂电设备,300450.SZ,先导智能,68.0359,300457.SZ,赢合科技,66.4808,value-leader-v3.0.0
电力设备,电池,881266.SH,燃料电池,002733.SZ,雄韬股份,51.3333,920627.BJ,力王股份,66.0417,value-leader-v3.0.0
电力设备,电池,881267.SH,其他电池,688819.SH,天能股份,60.619,688411.SH,海博思创,43.1101,value-leader-v3.0.0
电力设备,电网设备,881269.SH,电工仪器,603556.SH,海兴电力,61.3737,300360.SZ,炬华科技,79.995,value-leader-v3.0.0
电力设备,电网设备,881270.SH,电网自动化,600406.SH,国电南瑞,65.8932,000400.SZ,许继电气,58.3572,value-leader-v3.0.0
电力设备,电网设备,881271.SH,输变电设备,600089.SH,特变电工,59.1664,002028.SZ,思源电气,69.7771,value-leader-v3.0.0
电力设备,电网设备,881272.SH,配电设备,601877.SH,正泰电器,73.1919,601567.SH,三星电气,60.5659,value-leader-v3.0.0
电力设备,电网设备,881273.SH,线缆部件及其他,603606.SH,东方电缆,76.3973,600577.SH,精达股份,61.878,value-leader-v3.0.0
电力设备,风电设备,881283.SH,风电整机,002202.SZ,金风科技,70.1667,601615.SH,明阳智能,37.8333,value-leader-v3.0.0
电力设备,风电设备,881284.SH,风电零部件,002487.SZ,大金重工,74.0739,600458.SH,时代新材,59.3247,value-leader-v3.0.0
电子,元器件,881334.SH,PCB,600183.SH,生益科技,62.3504,002384.SZ,东山精密,41.3917,value-leader-v3.0.0
电子,元器件,881335.SH,被动元件,300408.SZ,三环集团,62.4101,002138.SZ,顺络电子,69.4912,value-leader-v3.0.0
电子,光学光电,881330.SH,面板,000725.SZ,京东方Ａ,67.3174,,,,value-leader-v3.0.0
电子,光学光电,881331.SH,光学元件,002273.SZ,水晶光电,77.5666,300088.SZ,长信科技,44.5847,value-leader-v3.0.0
电子,光学光电,881332.SH,LED,300296.SZ,利亚德,65.0933,603515.SH,欧普照明,79.6803,value-leader-v3.0.0
电子,其他电子,881336.SH,其他电子,300475.SZ,香农芯创,47.833,000062.SZ,深圳华强,42.6207,value-leader-v3.0.0
电子,半导体,881320.SH,半导体材料,002409.SZ,雅克科技,64.6809,300666.SZ,江丰电子,57.1956,value-leader-v3.0.0
电子,半导体,881321.SH,半导体设备,002371.SZ,北方华创,62.5379,688012.SH,中微公司,62.1366,value-leader-v3.0.0
电子,半导体,881322.SH,集成电路设计,,,,688041.SH,海光信息,59.5313,value-leader-v3.0.0
电子,半导体,881323.SH,功率半导体,688396.SH,华润微,48.6418,300373.SZ,扬杰科技,78.1787,value-leader-v3.0.0
电子,半导体,881324.SH,半导体制造,688981.SH,中芯国际,65.3889,688347.SH,华虹宏力,48.5764,value-leader-v3.0.0
电子,半导体,881325.SH,半导体封测,600584.SH,长电科技,49.6697,002156.SZ,通富微电,64.6603,value-leader-v3.0.0
电子,消费电子,881327.SH,消费电子组件,002475.SZ,立讯精密,63.5213,601138.SH,工业富联,52.6737,value-leader-v3.0.0
电子,消费电子,881328.SH,品牌消费电子,688036.SH,传音控股,51.397,300866.SZ,安克创新,64.396,value-leader-v3.0.0
电子,电子化学品,881479.SH,电子化学品,300054.SZ,鼎龙股份,63.319,300285.SZ,国瓷材料,59.5284,value-leader-v3.0.0
石油,油服工程,881009.SH,油田服务,601808.SH,中海油服,63.3286,600871.SH,石化油服,35.0762,value-leader-v3.0.0
石油,油服工程,881010.SH,油气工程,600583.SH,海油工程,73.8333,600339.SH,中油工程,37.6667,value-leader-v3.0.0
石油,油气开采,881007.SH,油气开采,601857.SH,中国石油,46.1333,600938.SH,中国海油,62.8,value-leader-v3.0.0
石油,石油化工,881012.SH,炼油化工,600028.SH,中国石化,76.0,600346.SH,恒力石化,55.3333,value-leader-v3.0.0
石油,石油化工,881013.SH,石油贸易,600256.SH,广汇能源,65.0,000554.SZ,泰山石油,71.8333,value-leader-v3.0.0
石油,石油化工,881014.SH,其他石化,000819.SZ,岳阳兴长,65.1293,002221.SZ,东华能源,46.8265,value-leader-v3.0.0
社会服务,专业服务,881437.SH,人力资源服务,600861.SH,北京人力,59.4048,600662.SH,外服控股,54.0,value-leader-v3.0.0
社会服务,专业服务,881438.SH,检测服务,300012.SZ,华测检测,63.7176,002967.SZ,广电计量,66.8405,value-leader-v3.0.0
社会服务,专业服务,881439.SH,会展服务,600826.SH,兰生股份,62.0,300860.SZ,锋尚文化,33.4762,value-leader-v3.0.0
社会服务,专业服务,881440.SH,其他专业服务,600654.SH,中安科,47.6714,603373.SH,安邦护卫,89.0,value-leader-v3.0.0
社会服务,体育,881427.SH,体育,600158.SH,中体产业,20.6429,300651.SZ,金陵体育,77.0,value-leader-v3.0.0
社会服务,教育培训,881428.SH,教育培训,300492.SZ,华图山鼎,57.4861,002607.SZ,中公教育,37.8492,value-leader-v3.0.0
社会服务,旅游,881433.SH,旅游景区,300144.SZ,宋城演艺,75.2254,600054.SH,黄山旅游,59.2589,value-leader-v3.0.0
社会服务,旅游,881434.SH,旅游服务,601888.SH,中国中免,60.1945,000524.SZ,岭南控股,48.2341,value-leader-v3.0.0
社会服务,旅游,881435.SH,休闲综合,600138.SH,中青旅,78.7857,002059.SZ,云南旅游,17.7143,value-leader-v3.0.0
社会服务,酒店餐饮,881430.SH,酒店,600754.SH,锦江酒店,58.1667,600258.SH,首旅酒店,77.5,value-leader-v3.0.0
社会服务,酒店餐饮,881431.SH,餐饮,605108.SH,同庆楼,81.3333,000721.SZ,西安饮食,11.8571,value-leader-v3.0.0
纺织服饰,服装家纺,881158.SH,家纺,002083.SZ,孚日股份,47.8095,002293.SZ,罗莱生活,66.6667,value-leader-v3.0.0
纺织服饰,服装家纺,881159.SH,鞋帽及其他,603511.SH,爱慕股份,73.7247,603608.SH,天创时尚,45.6234,value-leader-v3.0.0
纺织服饰,服装家纺,881160.SH,运动服装,002832.SZ,比音勒芬,88.4445,300005.SZ,探路者,16.8889,value-leader-v3.0.0
纺织服饰,服装家纺,881161.SH,非运动服装,600177.SH,雅戈尔,58.5726,600398.SH,海澜之家,71.5778,value-leader-v3.0.0
纺织服饰,纺织制造,881152.SH,棉纺制品,601339.SH,百隆东方,63.1667,000726.SZ,鲁 泰Ａ,69.1111,value-leader-v3.0.0
纺织服饰,纺织制造,881153.SH,印染,600987.SH,航民股份,86.6667,605189.SH,富春染织,52.0,value-leader-v3.0.0
纺织服饰,纺织制造,881154.SH,辅料,002003.SZ,伟星股份,75.0,002674.SZ,兴业科技,29.3333,value-leader-v3.0.0
纺织服饰,纺织制造,881155.SH,其他纺织,603055.SH,台华新材,67.1981,603889.SH,新澳股份,69.2375,value-leader-v3.0.0
纺织服饰,饰品,881163.SH,钟表珠宝,600612.SH,老凤祥,65.794,600916.SH,中国黄金,40.6061,value-leader-v3.0.0
综合,综合类,881478.SH,综合类,600673.SH,东阳光,45.3529,000833.SZ,粤桂股份,74.2196,value-leader-v3.0.0
计算机,IT设备,881353.SH,安防设备,002415.SZ,海康威视,76.7817,002236.SZ,大华股份,70.2202,value-leader-v3.0.0
计算机,IT设备,881354.SH,其他IT设备,,,,000977.SZ,浪潮信息,57.691,value-leader-v3.0.0
计算机,云服务,881360.SH,云基础设施服务,300442.SZ,润泽科技,73.1917,300017.SZ,网宿科技,72.6906,value-leader-v3.0.0
计算机,云服务,881361.SH,云平台服务,300170.SZ,汉得信息,70.8889,688568.SH,中科星图,49.7222,value-leader-v3.0.0
计算机,云服务,881362.SH,云软件服务,688111.SH,金山办公,80.5926,002410.SZ,广联达,71.5397,value-leader-v3.0.0
计算机,云服务,881363.SH,其他云服务,000034.SZ,神州数码,51.4286,600850.SH,电科数字,74.5714,value-leader-v3.0.0
计算机,产业互联网,881365.SH,产联网信息服务,301299.SZ,卓创资讯,50.0,,,,value-leader-v3.0.0
计算机,产业互联网,881366.SH,产联网平台服务,603613.SH,国联股份,72.3333,300226.SZ,上海钢联,36.5833,value-leader-v3.0.0
计算机,产业互联网,881367.SH,产联网综合服务,002195.SZ,岩山科技,15.3333,688258.SH,卓易信息,81.6667,value-leader-v3.0.0
计算机,软件服务,881356.SH,基础软件,601360.SH,三六零,52.6964,300454.SZ,深信服,64.7979,value-leader-v3.0.0
计算机,软件服务,881357.SH,行业应用软件,600845.SH,宝信软件,68.44,301638.SZ,南网数字,65.7737,value-leader-v3.0.0
计算机,软件服务,881358.SH,新兴软件,002230.SZ,科大讯飞,70.5,688088.SH,虹软科技,80.5,value-leader-v3.0.0
轻工制造,包装印刷,881172.SH,印刷,002117.SZ,东港股份,66.6667,001279.SZ,强邦新材,45.1563,value-leader-v3.0.0
轻工制造,包装印刷,881173.SH,金属包装,002701.SZ,奥瑞金,74.2889,002752.SZ,昇兴股份,57.2889,value-leader-v3.0.0
轻工制造,包装印刷,881174.SH,塑料包装,600210.SH,紫江企业,77.0714,002014.SZ,永新股份,75.0179,value-leader-v3.0.0
轻工制造,包装印刷,881175.SH,纸包装,002831.SZ,裕同科技,70.5659,002303.SZ,美盈森,65.2758,value-leader-v3.0.0
轻工制造,包装印刷,881176.SH,其他包装,002243.SZ,力合科创,33.1389,603607.SH,京华激光,65.5556,value-leader-v3.0.0
轻工制造,家居用品,881178.SH,家具,603816.SH,顾家家居,79.2253,603833.SH,欧派家居,79.7398,value-leader-v3.0.0
轻工制造,家居用品,881179.SH,其他家居,603195.SH,公牛集团,75.2338,001386.SZ,马可波罗,78.2307,value-leader-v3.0.0
轻工制造,文娱用品,881181.SH,文化用品,603899.SH,晨光股份,70.6667,301101.SZ,明月镜片,69.6667,value-leader-v3.0.0
轻工制造,文娱用品,881182.SH,娱乐用品,001222.SZ,源飞宠物,58.7765,605299.SH,舒华体育,51.0952,value-leader-v3.0.0
轻工制造,造纸,881168.SH,大宗用纸,002078.SZ,太阳纸业,84.9444,600966.SH,博汇纸业,55.1278,value-leader-v3.0.0
轻工制造,造纸,881169.SH,生活用纸,002511.SZ,中顺洁柔,43.3333,605009.SH,豪悦护理,59.5,value-leader-v3.0.0
轻工制造,造纸,881170.SH,特种纸,603733.SH,仙鹤股份,64.9873,605007.SH,五洲特纸,42.308,value-leader-v3.0.0
通信,电信服务,881345.SH,电信运营服务,600941.SH,中国移动,53.0,601728.SH,中国电信,49.3333,value-leader-v3.0.0
通信,电信服务,881346.SH,电信增值服务,000839.SZ,国安股份,52.3522,300292.SZ,吴通控股,62.6992,value-leader-v3.0.0
通信,通信工程,881348.SH,网络规划设计,002544.SZ,普天科技,65.6667,300597.SZ,吉大通信,31.9048,value-leader-v3.0.0
通信,通信工程,881349.SH,网络工程施工,002929.SZ,润建股份,50.4,603220.SH,中贝通信,66.1333,value-leader-v3.0.0
通信,通信工程,881350.SH,网络优化运维,300310.SZ,宜通世纪,56.1333,603322.SH,超讯科技,53.5905,value-leader-v3.0.0
通信,通信设备,881339.SH,光纤光缆,600487.SH,亨通光电,61.6571,600522.SH,中天科技,60.7667,value-leader-v3.0.0
通信,通信设备,881340.SH,网络接配及塔设,300308.SZ,中际旭创,79.7539,300502.SZ,新易盛,75.848,value-leader-v3.0.0
通信,通信设备,881341.SH,系统设备,000063.SZ,中兴通讯,59.0,600498.SH,烽火通信,52.5,value-leader-v3.0.0
通信,通信设备,881342.SH,通信终端及配件,300628.SZ,亿联网络,84.3276,603236.SH,移远通信,52.0789,value-leader-v3.0.0
通信,通信设备,881343.SH,其他通信设备,300627.SZ,华测导航,78.4293,920045.BJ,蘅东光,42.803,value-leader-v3.0.0
钢铁,冶钢原料,881063.SH,铁矿石,001203.SZ,大中矿业,39.5667,000923.SZ,河钢资源,47.2333,value-leader-v3.0.0
钢铁,冶钢原料,881064.SH,冶钢辅料,600295.SH,鄂尔多斯,78.6667,600516.SH,方大炭素,19.3333,value-leader-v3.0.0
钢铁,普钢,881066.SH,长材,002110.SZ,三钢闽光,86.5,000717.SZ,中南股份,46.5,value-leader-v3.0.0
钢铁,普钢,881067.SH,板材,600019.SH,宝钢股份,78.0361,000932.SZ,华菱钢铁,69.2083,value-leader-v3.0.0
钢铁,普钢,881068.SH,其他钢材,000778.SZ,新兴铸管,49.0,601686.SH,友发集团,45.6667,value-leader-v3.0.0
钢铁,特钢,881069.SH,特钢,000708.SZ,中信特钢,70.3667,002318.SZ,久立特材,74.4524,value-leader-v3.0.0
银行,全国性银行,881387.SH,国有大型银行,601398.SH,工商银行,50.019,601939.SH,建设银行,57.219,value-leader-v3.0.0
银行,全国性银行,881388.SH,股份制银行,600036.SH,招商银行,62.5,601166.SH,兴业银行,64.5595,value-leader-v3.0.0
银行,地方性银行,881390.SH,城商行,600919.SH,江苏银行,66.3304,002142.SZ,宁波银行,52.6647,value-leader-v3.0.0
银行,地方性银行,881391.SH,农商行,601825.SH,沪农商行,37.1455,601077.SH,渝农商行,33.1322,value-leader-v3.0.0
非银金融,保险,881395.SH,保险,601628.SH,中国人寿,52.1905,601318.SH,中国平安,45.881,value-leader-v3.0.0
非银金融,多元金融,881397.SH,非货币银行,600901.SH,江苏金租,82.6667,600318.SH,新力金融,18.3333,value-leader-v3.0.0
非银金融,多元金融,881398.SH,信托,600517.SH,国网英大,69.3333,000563.SZ,陕国投Ａ,54.381,value-leader-v3.0.0
非银金融,多元金融,881399.SH,投资管理,000532.SZ,华金资本,50.0,,,,value-leader-v3.0.0
非银金融,多元金融,881400.SH,期货,600927.SH,永安期货,43.3651,603093.SH,南华期货,57.9683,value-leader-v3.0.0
非银金融,多元金融,881401.SH,租赁,000415.SZ,渤海租赁,26.3571,603300.SH,海南华铁,62.8333,value-leader-v3.0.0
非银金融,多元金融,881402.SH,金融控股,000987.SZ,越秀资本,65.1429,000617.SZ,中油资本,49.2667,value-leader-v3.0.0
非银金融,多元金融,881404.SH,其他金融服务,300773.SZ,拉卡拉,59.2083,000567.SZ,海德股份,81.0,value-leader-v3.0.0
非银金融,证券,881394.SH,证券,600030.SH,中信证券,63.9047,601211.SH,国泰海通,73.1956,value-leader-v3.0.0
食品饮料,休闲食品,881141.SH,零食,300972.SZ,万辰集团,54.7936,002847.SZ,盐津铺子,67.4074,value-leader-v3.0.0
食品饮料,休闲食品,881142.SH,烘焙食品,603043.SH,广州酒家,68.1111,603866.SH,桃李面包,48.8889,value-leader-v3.0.0
食品饮料,休闲食品,881143.SH,熟食,603057.SH,紫燕食品,36.4583,002695.SZ,煌上煌,59.3333,value-leader-v3.0.0
食品饮料,调味品,881139.SH,调味品,603288.SH,海天味业,63.3,600298.SH,安琪酵母,55.8333,value-leader-v3.0.0
食品饮料,酿酒,881131.SH,啤酒,600600.SH,青岛啤酒,55.3111,000729.SZ,燕京啤酒,65.5667,value-leader-v3.0.0
食品饮料,酿酒,881132.SH,葡萄酒,000869.SZ,张 裕Ａ,85.0,603779.SH,威龙股份,10.5714,value-leader-v3.0.0
食品饮料,酿酒,881133.SH,黄酒,601579.SH,会稽山,56.6667,600059.SH,古越龙山,65.0,value-leader-v3.0.0
食品饮料,酿酒,881134.SH,其他酒类,002568.SZ,百润股份,50.0,,,,value-leader-v3.0.0
食品饮料,酿酒,881135.SH,白酒,600519.SH,贵州茅台,76.6575,000858.SZ,五 粮 液,63.6347,value-leader-v3.0.0
食品饮料,食品加工,881145.SH,肉制品,000895.SZ,双汇发展,71.619,600073.SH,光明肉业,48.9592,value-leader-v3.0.0
食品饮料,食品加工,881146.SH,制糖业,600737.SH,中粮糖业,45.1333,605077.SH,华康股份,61.2,value-leader-v3.0.0
食品饮料,食品加工,881147.SH,预加工食品,603345.SH,安井食品,75.5048,002216.SZ,三全食品,54.7238,value-leader-v3.0.0
食品饮料,食品加工,881148.SH,保健品,300146.SZ,汤臣倍健,56.0,002626.SZ,金达威,43.5,value-leader-v3.0.0
食品饮料,食品加工,881149.SH,其他食品,002956.SZ,西麦食品,68.4667,603237.SH,五芳斋,62.8333,value-leader-v3.0.0
食品饮料,饮料乳品,881137.SH,软饮料,605499.SH,东鹏饮料,72.8333,603156.SH,养元饮品,60.6786,value-leader-v3.0.0
食品饮料,饮料乳品,881138.SH,乳制品,600887.SH,伊利股份,70.4953,002946.SZ,新乳业,75.0945,value-leader-v3.0.0
