一级行业代码,一级行业,二级行业代码,二级行业,三级行业代码,三级行业,股票代码,股票名称,龙头排名,质量分,规模地位分,盈利能力,成长稳定性,现金流质量,同行相对估值,财务稳健与波动,覆盖率,资格状态,生命周期,公式版本,首次进入,最近可见,低估池状态,估值标签,历史估值标签,买入档,现价,合理价值低,合理价值中,合理价值高,低估池as_of
881070.SH,有色,881078.SH,能源金属,881081.SH,钴,603799.SH,华友钴业,1,56.6667,100.0,70.0,66.6667,26.6666,90.0,10.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,CHEAP,WATCH,37.98,44.32,47.65,108.17,2026-09-07
881090.SH,建材,881091.SH,水泥,881092.SH,水泥制造,600585.SH,海螺水泥,1,65.1126,97.8571,64.2857,34.2857,78.1818,75.9524,77.1429,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,WATCH,17.83,18.84,29.06,88.41,2026-09-07
881090.SH,建材,881094.SH,玻璃玻纤,881095.SH,玻璃制造,601636.SH,旗滨集团,1,67.6667,94.2857,68.5714,69.2857,72.8572,85.7143,28.5714,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,ATTENTION,5.91,7.01,10.62,18.17,2026-09-07
881090.SH,建材,881097.SH,装饰建材,881098.SH,陶瓷,003012.SZ,东鹏控股,1,82.8889,100.0,100.0,80.0,43.3333,100.0,86.6667,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,NORMAL,ATTENTION,4.71,19.47,29.85,30.58,2026-09-07
881090.SH,建材,881097.SH,装饰建材,881098.SH,陶瓷,002918.SZ,蒙娜丽莎,2,51.5556,53.3333,66.6667,40.0,53.3334,60.0,23.3333,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,NORMAL,WATCH,10.91,23.05,39.59,40.56,2026-09-07
881090.SH,建材,881097.SH,装饰建材,881103.SH,其他建材,000786.SZ,北新建材,1,84.4708,100.0,95.625,72.875,82.7083,93.4375,68.75,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,VERY_CHEAP,WATCH,16.3,21.76,90.31,143.44,2026-09-07
881105.SH,农林牧渔,881106.SH,种植业,881108.SH,食用菌,002772.SZ,众兴菌业,1,69.7778,100.0,90.0,76.6667,36.6667,100.0,23.3333,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,WATCH,11.96,14.39,21.65,37.65,2026-09-07
881105.SH,农林牧渔,881106.SH,种植业,881110.SH,其他种植业,601118.SH,海南橡胶,1,56.4127,80.0,56.6667,80.9524,60.0,50.0,23.3333,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,WATCH,7.2,8.52,11.5,16.45,2026-09-07
881105.SH,农林牧渔,881106.SH,种植业,881110.SH,其他种植业,600108.SH,亚盛集团,2,68.0317,76.6667,90.0,52.3809,50.0,80.0,56.6667,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,VERY_EXPENSIVE,WAIT,4.8,12.62,14.66,20.96,2026-09-07
881105.SH,农林牧渔,881111.SH,养殖业,881112.SH,生猪养殖,002714.SZ,牧原股份,1,72.9333,100.0,97.0,61.0,68.0,75.0,47.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,WATCH,43.91,45.15,52.68,78.12,2026-09-07
881105.SH,农林牧渔,881111.SH,养殖业,881112.SH,生猪养殖,300498.SZ,温氏股份,2,67.7667,90.0,75.0,57.0,56.5,90.0,53.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,ATTENTION,15.28,19.96,22.55,33.45,2026-09-07
881105.SH,农林牧渔,881111.SH,养殖业,881113.SH,肉鸡养殖,300761.SZ,立华股份,2,51.1333,83.3333,46.6667,72.3333,43.3333,30.0,71.6667,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,WATCH,21.65,22.29,23.24,33.08,2026-09-07
881105.SH,农林牧渔,881115.SH,林业,881115.SH,林业,002679.SZ,福建金森,2,74.1667,50.0,100.0,55.0,87.5,65.0,45.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,NORMAL,ATTENTION,11.17,21.37,34.01,34.31,2026-09-07
881105.SH,农林牧渔,881116.SH,渔业,881117.SH,水产养殖,600467.SH,好当家,1,77.5,65.0,85.0,57.5,83.3333,100.0,50.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,EXPENSIVE,ATTENTION,2.53,9.15,9.15,52.93,2026-09-07
881105.SH,农林牧渔,881119.SH,饲料,881120.SH,畜禽饲料,002100.SZ,天康生物,1,66.2222,80.8333,80.8333,54.1667,53.3334,79.1667,55.0,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,EXPENSIVE,WAIT,8.39,10.85,15.44,19.42,2026-09-07
881105.SH,农林牧渔,881119.SH,饲料,881120.SH,畜禽饲料,600866.SH,星湖科技,2,85.0555,74.1667,97.5,90.8333,63.3333,100.0,61.6667,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,CHEAP,HIGH_ATTENTION,4.42,9.24,12.73,16.01,2026-09-07
881105.SH,农林牧渔,881119.SH,饲料,881121.SH,水产饲料,001313.SZ,粤海饲料,2,40.9444,43.3333,43.3333,13.3333,70.8333,25.0,56.6667,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,CHEAP,WATCH,8.03,9.59,11.85,11.95,2026-09-07
881105.SH,农林牧渔,881123.SH,农产品加工,881125.SH,果蔬加工,600251.SH,冠农股份,1,70.4444,100.0,90.0,63.3333,40.0,100.0,43.3333,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,WATCH,11.28,12.66,22.91,28.34,2026-09-07
881129.SH,食品饮料,881130.SH,酿酒,881132.SH,葡萄酒,000869.SZ,张 裕Ａ,1,85.0,100.0,100.0,55.0,90.0,80.0,100.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,NORMAL,WATCH,16.37,47.34,61.15,77.44,2026-09-07
881129.SH,食品饮料,881144.SH,食品加工,881146.SH,制糖业,605077.SH,华康股份,2,61.2,56.0,54.0,74.0,76.0,72.0,18.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,ATTENTION,11.39,14.19,31.68,54.45,2026-09-07
881129.SH,食品饮料,881144.SH,食品加工,881147.SH,预加工食品,603345.SH,安井食品,1,75.5048,100.0,61.4286,95.7143,71.7143,83.4286,67.1429,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,CHEAP,ATTENTION,76.23,99.15,141.34,213.1,2026-09-07
881129.SH,食品饮料,881144.SH,食品加工,881148.SH,保健品,300146.SZ,汤臣倍健,1,56.0,100.0,62.5,30.0,54.1667,82.5,45.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,ATTENTION,9.83,12.26,15.58,28.04,2026-09-07
881150.SH,纺织服饰,881151.SH,纺织制造,881152.SH,棉纺制品,000726.SZ,鲁 泰Ａ,2,69.1111,71.6667,70.0,71.6667,40.0,78.3333,93.3333,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,CHEAP,ATTENTION,5.9,7.35,13.25,17.73,2026-09-07
881150.SH,纺织服饰,881151.SH,纺织制造,881153.SH,印染,600987.SH,航民股份,1,86.6667,100.0,100.0,83.3333,50.0,100.0,100.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,CHEAP,HIGH_ATTENTION,6.53,11.39,14.19,21.72,2026-09-07
881150.SH,纺织服饰,881151.SH,纺织制造,881153.SH,印染,605189.SH,富春染织,2,52.0,53.3333,46.6667,63.3333,63.3334,40.0,46.6667,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,ATTENTION,13.93,14.2,19.39,29.68,2026-09-07
881150.SH,纺织服饰,881151.SH,纺织制造,881155.SH,其他纺织,603055.SH,台华新材,1,67.1981,100.0,66.1111,66.4118,74.2081,81.6667,38.3334,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,CHEAP,ATTENTION,9.43,9.89,17.63,43.91,2026-09-07
881150.SH,纺织服饰,881151.SH,纺织制造,881155.SH,其他纺织,603889.SH,新澳股份,2,69.2375,92.0261,75.5556,77.8908,29.5928,90.0,71.9444,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,ATTENTION,6.13,7.03,12.73,32.03,2026-09-07
881150.SH,纺织服饰,881157.SH,服装家纺,881159.SH,鞋帽及其他,603511.SH,爱慕股份,1,73.7247,96.3636,80.9091,44.7273,68.4416,97.2727,75.4545,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,NORMAL,ATTENTION,12.69,21.84,33.81,79.48,2026-09-07
881150.SH,纺织服饰,881157.SH,服装家纺,881160.SH,运动服装,002832.SZ,比音勒芬,1,88.4445,100.0,100.0,83.3334,86.6667,90.0,73.3333,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,ATTENTION,26.21,29.96,63.46,146.35,2026-09-07
881150.SH,纺织服饰,881162.SH,饰品,881163.SH,钟表珠宝,600612.SH,老凤祥,1,65.794,97.2727,53.6364,59.3939,80.9091,78.3637,58.1818,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,CHEAP,WATCH,34.0,37.12,55.44,281.79,2026-09-07
881166.SH,轻工制造,881167.SH,造纸,881169.SH,生活用纸,605009.SH,豪悦护理,2,59.5,65.0,57.5,62.5,30.0,92.5,53.75,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,ATTENTION,24.96,27.36,52.48,75.91,2026-09-07
881166.SH,轻工制造,881171.SH,包装印刷,881173.SH,金属包装,002701.SZ,奥瑞金,1,74.2889,93.3333,80.0,70.3333,58.3333,95.0,61.6667,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,CHEAP,HIGH_ATTENTION,4.54,7.9,15.49,54.71,2026-09-07
881166.SH,轻工制造,881171.SH,包装印刷,881173.SH,金属包装,002752.SZ,昇兴股份,2,57.2889,65.0,58.3333,81.6667,18.3333,72.0,55.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,WATCH,6.23,7.21,16.28,45.72,2026-09-07
881166.SH,轻工制造,881171.SH,包装印刷,881174.SH,塑料包装,600210.SH,紫江企业,1,77.0714,95.0,80.0,72.8571,70.0,100.0,53.75,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,VERY_CHEAP,HIGH_ATTENTION,6.15,12.51,21.49,40.03,2026-09-07
881166.SH,轻工制造,881177.SH,家居用品,881179.SH,其他家居,001386.SZ,马可波罗,2,78.2307,95.9375,81.25,,75.0,84.5,67.6339,0.8,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,INSUFFICIENT_DATA,WAIT,16.54,22.27,40.0,91.47,2026-09-07
881166.SH,轻工制造,881180.SH,文娱用品,881181.SH,文化用品,603899.SH,晨光股份,1,70.6667,100.0,70.0,62.5,65.0,92.5,60.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,VERY_CHEAP,ATTENTION,23.59,28.39,43.63,100.35,2026-09-07
881183.SH,家电,881184.SH,白色家电,881185.SH,空调,000651.SZ,格力电器,2,69.1111,66.6667,90.0,30.0,83.3333,90.0,33.3333,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,WATCH,38.9,40.81,67.43,88.44,2026-09-07
881183.SH,家电,881184.SH,白色家电,881186.SH,冰洗,600690.SH,海尔智家,1,62.9333,100.0,72.0,70.0,38.6667,72.0,57.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,VERY_CHEAP,ATTENTION,21.61,23.4,32.76,104.67,2026-09-07
881183.SH,家电,881187.SH,黑色家电,881188.SH,电视,600060.SH,海信视像,1,78.2222,90.0,70.0,80.0,66.6667,100.0,76.6667,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,WATCH,28.21,38.11,45.79,79.94,2026-09-07
881183.SH,家电,881187.SH,黑色家电,881189.SH,其他黑色家电,000810.SZ,创维数字,1,60.2917,82.5,50.0,47.5,40.625,100.0,70.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,NORMAL,WATCH,9.73,28.13,84.88,154.04,2026-09-07
881183.SH,家电,881187.SH,黑色家电,881189.SH,其他黑色家电,000801.SZ,四川九洲,2,72.5,77.5,75.0,82.5,80.0,45.0,82.5,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,EXPENSIVE,WATCH,12.6,14.06,49.5,89.82,2026-09-07
881183.SH,家电,881190.SH,小家电,881193.SH,个护小家电,603579.SH,荣泰健康,2,59.8572,81.4286,54.2857,45.0,65.7143,91.4286,37.1429,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,NORMAL,ATTENTION,18.33,30.36,51.0,125.98,2026-09-07
881183.SH,家电,881198.SH,家电零部件,881198.SH,家电零部件,002011.SZ,盾安环境,2,64.449,90.3846,72.3077,45.4474,61.3575,77.4916,62.3077,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,VERY_CHEAP,ATTENTION,11.94,13.84,30.24,126.79,2026-09-07
881199.SH,商贸,881200.SH,一般零售,881201.SH,超市及便利店,002697.SZ,红旗连锁,1,79.7778,70.0,95.0,68.3333,61.6666,90.0,78.3333,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,NORMAL,ATTENTION,4.89,8.33,15.86,42.56,2026-09-07
881199.SH,商贸,881200.SH,一般零售,881203.SH,多业态零售,600827.SH,百联股份,1,49.0303,97.2727,36.3636,31.8182,35.4545,86.3636,64.5455,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,CHEAP,ATTENTION,7.98,10.24,18.99,61.05,2026-09-07
881211.SH,汽车,881212.SH,乘用车,881214.SH,综合乘用车,600104.SH,上汽集团,1,54.1333,92.0,46.0,16.0,72.0,100.0,32.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,NORMAL,WATCH,10.58,21.61,32.55,62.12,2026-09-07
881211.SH,汽车,881224.SH,汽车服务,881225.SH,汽车经销商,600335.SH,国机汽车,1,75.0556,100.0,80.0,50.0,87.5,100.0,46.6667,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,VERY_CHEAP,HIGH_ATTENTION,5.21,22.43,28.49,36.31,2026-09-07
